Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),37.53,21.41,48.63,48.43,44.06,42.89,40.82,39.58,33.69
Time To Second Token (ms),4.64,1.00,9.41,9.32,5.03,4.89,4.73,4.64,4.48
Request Latency (ms),521.50,506.08,533.09,531.83,528.35,526.74,525.29,523.62,517.33
Inter Token Latency (ms),4.90,4.84,5.05,5.01,4.95,4.94,4.92,4.89,4.88
Output Sequence Length (tokens),99.72,97.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Input Sequence Length (tokens),"1,024.17","1,024.00","1,025.00","1,025.00","1,025.00","1,025.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (per sec),191.06
Request Throughput (per sec),1.92
Request Count (count),64.00
