Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),112.93,55.77,319.51,311.12,304.76,299.40,112.25,84.79,73.33
Time To Second Token (ms),14.05,0.07,68.46,61.83,50.21,34.08,26.39,13.24,0.14
Request Latency (ms),"1,328.08",90.25,"1,661.25","1,641.31","1,578.52","1,563.50","1,547.52","1,443.13","1,399.57"
Inter Token Latency (ms),13.34,0.00,15.30,15.18,14.94,14.92,14.44,13.58,13.32
Output Sequence Length (tokens),89.14,1.00,102.00,101.37,100.85,100.00,100.00,100.00,99.00
Input Sequence Length (tokens),"1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (per sec),510.92
Request Throughput (per sec),5.73
Request Count (count),64.00
