Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),207.22,54.55,540.62,539.64,537.52,534.42,262.43,106.83,78.13
Time To Second Token (ms),9.76,0.07,63.83,48.21,34.02,32.07,17.56,0.15,0.10
Request Latency (ms),"1,531.39",106.44,"2,182.55","2,140.34","2,053.39","1,966.46","1,836.31","1,748.12","1,420.28"
Inter Token Latency (ms),15.65,10.58,18.49,18.23,17.88,17.68,17.22,16.25,14.09
Output Sequence Length (tokens),85.23,1.00,101.00,100.37,100.00,100.00,100.00,100.00,95.25
Input Sequence Length (tokens),"1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (per sec),789.31
Request Throughput (per sec),9.26
Request Count (count),64.00
