Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),230.82,56.67,613.61,612.26,609.12,603.00,346.14,121.43,86.22
Time To Second Token (ms),7.48,0.03,75.27,62.17,39.47,37.18,6.20,0.12,0.10
Request Latency (ms),"1,258.75",84.37,"2,133.93","2,129.29","1,962.88","1,842.78","1,548.03","1,494.88",979.56
Inter Token Latency (ms),13.05,0.00,15.78,15.67,15.31,14.81,14.35,13.94,12.54
Output Sequence Length (tokens),79.00,1.00,101.00,101.00,100.00,100.00,100.00,100.00,62.00
Input Sequence Length (tokens),"1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (per sec),822.45
Request Throughput (per sec),10.41
Request Count (count),64.00
