Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),106.54,20.27,209.27,208.08,201.71,193.14,161.68,90.13,48.55
Time To Second Token (ms),0.55,0.02,28.69,11.00,0.18,0.14,0.11,0.09,0.07
Request Latency (ms),432.26,169.76,554.81,536.52,520.26,513.74,459.98,416.96,401.61
Inter Token Latency (ms),3.32,2.40,3.99,3.98,3.86,3.81,3.65,3.32,3.05
Output Sequence Length (tokens),98.89,39.00,101.00,101.00,100.00,100.00,100.00,100.00,100.00
Input Sequence Length (tokens),"1,024.17","1,024.00","1,025.00","1,025.00","1,025.00","1,025.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (per sec),"3,348.85"
Request Throughput (per sec),33.86
Request Count (count),64.00
