Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),59.57,19.48,207.36,205.63,190.13,171.75,59.34,40.65,31.72
Time To Second Token (ms),1.45,0.09,13.66,12.96,5.20,4.83,0.38,0.26,0.18
Request Latency (ms),558.72,248.71,708.63,707.84,660.84,584.08,566.79,557.36,551.55
Inter Token Latency (ms),5.14,4.01,5.59,5.57,5.44,5.39,5.28,5.19,5.06
Output Sequence Length (tokens),98.11,41.00,100.00,100.00,100.00,100.00,100.00,100.00,99.00
Input Sequence Length (tokens),"1,024.17","1,024.00","1,025.00","1,025.00","1,025.00","1,025.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (per sec),"1,368.68"
Request Throughput (per sec),13.95
Request Count (count),64.00
