Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),102.29,51.49,316.29,276.65,251.65,246.48,99.18,82.76,68.26
Time To Second Token (ms),12.98,0.07,56.67,55.37,38.54,30.19,15.46,13.42,0.22
Request Latency (ms),"1,221.04",64.34,"1,749.13","1,710.00","1,593.38","1,578.27","1,553.53","1,433.36","1,212.77"
Inter Token Latency (ms),13.48,0.10,15.27,15.27,15.13,15.09,14.93,13.84,13.39
Output Sequence Length (tokens),81.38,1.00,101.00,100.37,100.00,100.00,100.00,100.00,99.00
Input Sequence Length (tokens),"1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (per sec),498.87
Request Throughput (per sec),6.13
Request Count (count),64.00
