Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),82.61,55.04,124.20,112.51,101.66,100.02,91.88,84.64,73.06
Time To Second Token (ms),9.07,3.52,25.02,23.90,16.14,13.53,8.40,7.97,7.45
Request Latency (ms),745.80,100.84,"1,043.68","1,025.02",935.24,878.33,833.33,823.03,794.72
Inter Token Latency (ms),7.62,6.63,9.80,9.45,8.31,8.05,7.56,7.48,7.45
Output Sequence Length (tokens),87.94,7.00,101.00,101.00,100.00,100.00,100.00,100.00,99.00
Input Sequence Length (tokens),"1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (per sec),117.69
Request Throughput (per sec),1.34
Request Count (count),64.00
