Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),103.34,46.28,339.31,337.31,334.37,327.52,97.48,69.51,51.69
Time To Second Token (ms),8.56,0.07,49.22,45.92,35.29,32.54,9.58,0.24,0.14
Request Latency (ms),925.79,46.29,"1,305.78","1,284.65","1,155.39","1,037.20","1,031.65","1,011.79",982.96
Inter Token Latency (ms),9.13,0.00,9.94,9.90,9.84,9.77,9.72,9.53,9.20
Output Sequence Length (tokens),89.00,1.00,101.00,100.37,100.00,100.00,100.00,100.00,100.00
Input Sequence Length (tokens),"1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (per sec),693.14
Request Throughput (per sec),7.79
Request Count (count),64.00
