Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),109.89,43.56,356.05,333.25,317.92,311.49,102.89,76.53,68.56
Time To Second Token (ms),3.95,0.05,45.06,39.13,8.29,8.12,7.58,0.17,0.12
Request Latency (ms),746.35,77.73,"1,171.41","1,143.89",990.15,911.35,893.07,880.42,776.84
Inter Token Latency (ms),7.43,0.09,8.84,8.64,8.41,8.36,8.29,8.11,7.65
Output Sequence Length (tokens),80.98,1.00,102.00,102.00,100.00,100.00,100.00,100.00,92.75
Input Sequence Length (tokens),"1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (per sec),746.71
Request Throughput (per sec),9.22
Request Count (count),64.00
