Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),99.31,25.55,182.20,181.51,176.92,170.90,152.57,83.93,50.05
Time To Second Token (ms),0.92,0.03,17.61,16.25,3.47,0.28,0.14,0.11,0.09
Request Latency (ms),524.16,397.73,651.91,618.80,596.58,578.33,560.92,514.22,493.22
Inter Token Latency (ms),4.32,3.51,4.93,4.87,4.76,4.73,4.63,4.34,4.06
Output Sequence Length (tokens),99.31,72.00,101.00,100.37,100.00,100.00,100.00,100.00,100.00
Input Sequence Length (tokens),"1,024.17","1,024.00","1,025.00","1,025.00","1,025.00","1,025.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (per sec),"2,870.78"
Request Throughput (per sec),28.91
Request Count (count),64.00
