Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),113.46,48.92,290.45,289.61,285.63,277.80,117.91,84.71,73.93
Time To Second Token (ms),3.21,0.02,45.42,27.25,8.96,8.34,7.48,0.17,0.11
Request Latency (ms),831.29,124.37,"1,160.29","1,113.45",999.39,967.04,930.60,907.59,881.51
Inter Token Latency (ms),8.04,0.15,11.10,10.38,8.98,8.76,8.57,8.28,7.93
Output Sequence Length (tokens),88.48,2.00,101.00,101.00,100.00,100.00,100.00,100.00,99.75
Input Sequence Length (tokens),"1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (per sec),758.47
Request Throughput (per sec),8.57
Request Count (count),64.00
