Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),48.23,18.58,93.32,89.83,86.55,82.06,65.33,43.90,28.68
Time To Second Token (ms),1.39,0.07,15.43,15.13,4.01,3.61,1.91,0.24,0.17
Request Latency (ms),453.41,197.21,537.37,532.08,490.28,480.66,467.25,455.38,450.39
Inter Token Latency (ms),4.19,3.65,4.54,4.52,4.48,4.40,4.30,4.24,4.09
Output Sequence Length (tokens),97.50,36.00,101.00,101.00,100.00,100.00,100.00,100.00,99.00
Input Sequence Length (tokens),"1,024.17","1,024.00","1,025.00","1,025.00","1,025.00","1,025.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (per sec),"1,648.36"
Request Throughput (per sec),16.91
Request Count (count),64.00
